,time,cycleSlipratio,average CN0,average Elevation,vis satellite number,hDop,pDop,ValidLNum,aveEleOfValid,scene
0,60552.0,0.5,38.0,0.0,3.0,0.0,0.0,2.0,0.0,other
1,60553.0,0.5,38.0,0.0,3.0,0.0,0.0,2.0,0.0,other
2,60554.0,0.5,38.0,0.0,3.0,0.0,0.0,2.0,0.0,other
3,60555.0,0.5,40.0,0.0,6.0,0.0,0.0,6.0,0.0,other
4,60556.0,0.454545,40.0,0.0,9.0,0.0,0.0,8.0,0.0,other
5,60557.0,0.133333,39.0,0.0,13.0,0.0,0.0,13.0,0.0,other
6,60558.0,0.454545,37.0,0.0,16.0,0.0,0.0,16.0,0.0,other
7,60559.0,0.315789,39.0,0.0,14.0,0.0,0.0,12.0,0.0,other
8,60600.0,0.368421,39.0,0.0,14.0,0.0,0.0,13.0,0.0,other
9,60601.0,0.235294,39.0,0.0,14.0,0.0,0.0,11.0,0.0,other
10,60602.0,0.375,39.0,0.0,13.0,0.0,0.0,10.0,0.0,other
11,60603.0,0.3125,39.0,0.0,12.0,6.237037,6.173094,10.0,0.0,other
12,60604.0,0.315789,38.0,59.036615,14.0,6.237037,6.173094,8.0,56.179234,other
13,60605.0,0.35,38.0,57.009039,14.0,6.237037,6.173094,11.0,55.292014,other
14,60606.0,0.3,38.0,58.097068,14.0,6.237037,6.173094,11.0,55.20827,other
15,60607.0,0.181818,38.0,56.113581,14.0,6.237037,6.173094,12.0,54.51888,other
16,60608.0,0.217391,38.0,56.113581,15.0,6.237037,6.173094,12.0,55.930519,other
17,60609.0,0.227273,39.0,55.636408,14.0,6.237037,6.173094,11.0,55.357576,other
18,60610.0,0.2,39.0,56.746112,13.0,6.237037,6.173094,11.0,55.357576,other
19,60611.0,0.318182,38.0,57.22546,14.0,6.237037,6.173094,11.0,55.357576,other
20,60612.0,0.363636,38.0,56.746112,14.0,6.237037,6.173094,11.0,55.357576,other
21,60613.0,0.2,39.0,55.956345,13.0,6.237037,6.173094,11.0,55.357576,other
22,60614.0,0.173913,39.0,55.91359,14.0,6.237037,6.173094,12.0,57.17277,other
23,60615.0,0.428571,40.0,58.931829,14.0,6.237037,6.173094,13.0,57.144057,other
24,60616.0,0.130435,38.0,58.931829,14.0,6.237037,6.173094,13.0,57.144057,other
25,60617.0,0.125,39.0,58.931829,15.0,6.237037,6.173094,13.0,57.17277,other
26,60618.0,0.12,39.0,58.931829,15.0,6.237037,6.173094,14.0,57.144057,other
27,60619.0,0.08,39.0,58.931829,15.0,6.237037,6.173094,15.0,57.703413,other
28,60620.0,0.08,39.0,58.931829,15.0,6.237037,6.173094,15.0,57.703413,other
29,60621.0,0.04,39.0,58.931829,15.0,6.237037,6.173094,15.0,57.703413,other
30,60622.0,0.076923,39.0,58.931829,16.0,6.237037,6.173094,16.0,57.703413,other
31,60623.0,0.037037,40.0,58.931829,16.0,6.237037,6.173094,16.0,57.703413,other
32,60624.0,0.04,40.0,56.746112,15.0,6.237037,6.173094,14.0,55.49127,other
33,60625.0,0.068966,39.0,58.931829,18.0,6.237037,6.173094,17.0,57.144057,other
34,60626.0,0.068966,39.0,58.931829,18.0,5.474647,5.301922,17.0,57.144057,other
35,60627.0,0.137931,39.0,54.483722,18.0,5.474647,5.301922,17.0,55.09972,other
36,60628.0,0.103448,39.0,54.483722,18.0,5.474647,5.301922,18.0,53.002251,other
37,60629.0,0.103448,39.0,54.483722,18.0,6.839235,11.246014,17.0,55.09972,other
38,60630.0,0.133333,39.0,54.483916,19.0,6.839277,11.248397,19.0,53.001318,other
39,60631.0,0.090909,38.0,54.452035,21.0,1.360104,1.89299,21.0,52.919069,other
40,60632.0,0.142857,38.0,54.789623,23.0,1.547722,2.404163,23.0,51.406848,other
41,60633.0,0.105263,38.0,52.515364,23.0,1.619856,2.540498,23.0,49.920843,other
42,60634.0,0.076923,37.0,52.151403,24.0,1.601695,2.428922,24.0,49.468046,other
43,60635.0,0.128205,37.0,52.153433,24.0,1.543623,2.332147,24.0,49.471408,other
44,60636.0,0.157895,37.0,52.152911,24.0,1.544821,2.346919,23.0,52.779318,other
45,60637.0,0.076923,37.0,51.264006,25.0,1.330795,1.731859,25.0,49.869788,other
46,60638.0,0.157895,37.0,50.611889,24.0,1.32897,1.850463,22.0,50.71902,other
47,60639.0,0.051282,37.0,50.988701,24.0,1.330909,1.918486,22.0,48.959327,other
48,60640.0,0.051282,37.0,50.594365,25.0,1.41143,1.874463,24.0,47.583788,other
49,60641.0,0.026316,37.0,52.961505,24.0,1.41138,1.874341,23.0,48.957225,other
50,60642.0,0.051282,37.0,52.960483,24.0,1.41133,1.874219,24.0,47.581772,other
51,60643.0,0.076923,37.0,52.95946,24.0,1.416545,1.968517,23.0,48.955119,other
52,60644.0,0.076923,36.0,52.95844,24.0,1.416493,1.968376,21.0,49.417301,other
53,60645.0,0.054054,37.0,52.957417,23.0,1.41118,1.873854,23.0,49.342835,other
54,60646.0,0.078947,36.0,52.956396,24.0,1.414621,1.945156,23.0,50.865664,other
55,60647.0,0.078947,36.0,52.955373,24.0,1.414568,1.945015,23.0,49.144821,other
56,60648.0,0.081081,36.0,52.954353,24.0,1.414516,1.944873,23.0,47.007022,other
57,60649.0,0.076923,36.0,52.95333,25.0,1.416234,1.967671,25.0,47.761031,other
58,60650.0,0.076923,36.0,52.952307,25.0,1.416182,1.96753,24.0,45.342425,other
59,60651.0,0.051282,36.0,52.951284,25.0,1.630323,2.65898,23.0,48.763375,other
60,60652.0,0.051282,36.0,52.19013,25.0,1.630215,2.658787,23.0,46.61352,other
61,60653.0,0.051282,36.0,52.189325,25.0,1.630106,2.658593,24.0,45.340221,other
62,60654.0,0.025641,36.0,52.188516,25.0,1.629998,2.6584,24.0,45.339484,other
63,60655.0,0.025641,36.0,52.187711,25.0,1.567424,2.637612,22.0,46.611221,other
64,60656.0,0.025641,36.0,52.186904,25.0,1.567288,2.637424,23.0,45.338014,other
65,60657.0,0.051282,36.0,52.543908,24.0,1.567152,2.637237,20.0,50.181119,other
66,60658.0,0.051282,36.0,52.543087,24.0,1.530281,2.624781,21.0,48.616629,other
67,60659.0,0.102564,35.0,52.542267,24.0,1.515266,2.370383,23.0,49.330951,other
68,60700.0,0.076923,36.0,52.183676,25.0,1.515133,2.370215,25.0,46.126637,other
69,60701.0,0.076923,36.0,52.182866,25.0,1.515001,2.370049,25.0,46.126514,other
