,time,cycleSlipratio,average CN0,average Elevation,vis satellite number,hDop,pDop,ValidLNum,aveEleOfValid,scene
0,60552.0,0.571429,39.0,0.0,12.0,0.0,0.0,12.0,0.0,other
1,60553.0,0.642857,39.0,0.0,13.0,0.0,0.0,11.0,0.0,other
2,60554.0,0.533333,40.0,0.0,13.0,0.0,0.0,12.0,0.0,other
3,60555.0,0.615385,40.0,0.0,12.0,0.0,0.0,12.0,0.0,other
4,60556.0,0.6,39.0,0.0,13.0,0.0,0.0,12.0,0.0,other
5,60557.0,0.066667,38.0,0.0,13.0,0.0,0.0,12.0,0.0,other
6,60558.0,0.315789,37.0,0.0,13.0,0.0,0.0,12.0,0.0,other
7,60559.0,0.066667,40.0,0.0,10.0,0.0,0.0,10.0,0.0,other
8,60600.0,0.133333,40.0,0.0,10.0,0.0,0.0,10.0,0.0,other
9,60601.0,0.1875,39.0,0.0,11.0,0.0,0.0,10.0,0.0,other
10,60602.0,0.294118,38.0,0.0,12.0,0.0,0.0,9.0,0.0,other
11,60603.0,0.25,38.0,0.0,13.0,0.0,0.0,10.0,0.0,other
12,60604.0,0.238095,38.0,0.0,14.0,0.0,0.0,12.0,0.0,other
13,60605.0,0.238095,37.0,0.0,14.0,0.0,0.0,13.0,0.0,other
14,60606.0,0.15,38.0,0.0,13.0,0.0,0.0,11.0,0.0,other
15,60607.0,0.1,38.0,0.0,13.0,0.0,0.0,11.0,0.0,other
16,60608.0,0.190476,37.0,0.0,14.0,0.0,0.0,11.0,0.0,other
17,60609.0,0.1,38.0,0.0,13.0,0.0,0.0,11.0,0.0,other
18,60610.0,0.15,38.0,0.0,13.0,0.0,0.0,11.0,0.0,other
19,60611.0,0.095238,38.0,0.0,14.0,0.0,0.0,12.0,0.0,other
20,60612.0,0.090909,38.0,0.0,14.0,0.0,0.0,13.0,0.0,other
21,60613.0,0.090909,38.0,0.0,14.0,0.0,0.0,12.0,0.0,other
22,60614.0,0.130435,37.0,0.0,15.0,0.0,0.0,14.0,0.0,other
23,60615.0,0.458333,36.0,0.0,16.0,0.0,0.0,13.0,0.0,other
