,time,cycleSlipratio,average CN0,average Elevation,vis satellite number,hDop,pDop,ValidLNum,aveEleOfValid,scene
69,60719.0,0.025641,38.0,48.116488,27.0,1.459032,1.685409,24.0,48.18001,other
70,60720.0,0.025641,38.0,48.115876,27.0,1.459037,1.685329,26.0,46.596535,other
71,60721.0,0.025641,38.0,48.115265,28.0,1.453678,1.682826,27.0,45.519978,other
72,60722.0,0.025641,38.0,48.114653,29.0,1.453677,1.682744,28.0,44.246119,other
73,60723.0,0.076923,38.0,47.298052,31.0,1.453676,1.682662,28.0,45.520517,other
74,60724.0,0.025641,38.0,47.297399,31.0,1.453676,1.682579,29.0,42.032785,other
75,60725.0,0.0,38.0,47.561646,31.0,1.453675,1.682498,27.0,43.180505,other
76,60726.0,0.025641,38.0,48.387179,30.0,1.51533,1.943535,26.0,43.881289,other
77,60727.0,0.025641,38.0,48.137957,31.0,1.515334,1.943396,28.0,44.975115,other
78,60728.0,0.025641,39.0,47.797517,30.0,1.453672,1.682251,28.0,44.865703,other
79,60729.0,0.025641,39.0,47.796584,29.0,1.453672,1.682169,27.0,45.07215,other
80,60730.0,0.025641,39.0,47.795652,28.0,1.453671,1.682087,27.0,46.344786,other
81,60731.0,0.051282,39.0,47.959847,30.0,1.453669,1.682005,29.0,44.985627,other
82,60732.0,0.025641,39.0,47.793786,30.0,1.453668,1.681922,29.0,43.761857,other
83,60733.0,0.025641,39.0,47.792853,31.0,1.453668,1.68184,31.0,41.797917,other
84,60734.0,0.025641,39.0,47.791919,31.0,1.453667,1.681758,29.0,43.935319,other
85,60735.0,0.051282,39.0,47.790984,32.0,1.453666,1.681676,30.0,43.935014,other
86,60736.0,0.051282,39.0,47.760888,32.0,1.453665,1.681594,29.0,44.662169,other
87,60737.0,0.051282,39.0,47.759878,31.0,1.453665,1.681512,30.0,43.719786,other
88,60738.0,0.076923,40.0,46.97202,31.0,1.453664,1.68143,30.0,43.904292,other
89,60739.0,0.0,40.0,46.972848,32.0,1.299677,1.63138,31.0,43.906097,other
90,60740.0,0.0,40.0,47.574976,30.0,1.299658,1.631291,29.0,44.330975,other
91,60741.0,0.0,40.0,48.413951,30.0,1.29964,1.631203,29.0,44.33073,other
92,60742.0,0.0,40.0,48.338416,31.0,1.312108,1.645716,29.0,44.128902,other
93,60743.0,0.0,40.0,49.26029,31.0,1.312091,1.645636,30.0,42.94522,other
94,60744.0,0.025641,40.0,48.121534,31.0,1.312074,1.645557,29.0,43.892596,other
95,60745.0,0.025641,40.0,48.120607,30.0,1.312058,1.645477,28.0,43.892191,other
96,60746.0,0.025641,40.0,48.11968,30.0,1.213895,1.61506,28.0,42.943585,other
97,60747.0,0.025641,40.0,48.11875,32.0,1.312023,1.645318,29.0,44.658074,other
98,60748.0,0.025641,40.0,48.117825,33.0,1.312006,1.645238,31.0,43.764108,other
99,60749.0,0.0,40.0,48.116896,31.0,1.311989,1.645158,31.0,43.985833,other
100,60750.0,0.025641,40.0,47.724658,31.0,1.326682,1.654107,30.0,44.937378,other
101,60751.0,0.025641,40.0,47.563577,32.0,1.326662,1.654032,30.0,44.17719,other
102,60752.0,0.025641,40.0,46.918911,31.0,1.15898,1.465034,30.0,44.176982,other
103,60753.0,0.0,40.0,47.601776,32.0,1.169156,1.47042,31.0,44.176775,other
104,60754.0,0.0,40.0,47.60098,32.0,1.196817,1.517522,29.0,44.349148,other
105,60755.0,0.0,40.0,47.600185,32.0,1.196791,1.517458,29.0,44.349148,other
106,60756.0,0.025641,40.0,48.380552,31.0,1.205821,1.570705,29.0,44.29706,other
107,60757.0,0.025641,40.0,48.379436,31.0,1.168978,1.470163,29.0,43.502863,other
108,60758.0,0.025641,40.0,48.450038,33.0,1.168934,1.470098,30.0,42.432284,other
109,60759.0,0.025641,40.0,48.448835,33.0,1.168889,1.470034,29.0,45.111132,other
110,60800.0,0.025641,40.0,48.447631,32.0,1.168845,1.46997,29.0,43.329462,other
111,60801.0,0.025641,40.0,47.645178,32.0,1.202318,1.407442,30.0,41.747582,other
112,60802.0,0.025641,40.0,46.776953,31.0,1.122913,1.38112,30.0,43.417842,other
113,60803.0,0.0,40.0,47.593806,32.0,1.228986,1.490903,29.0,43.700837,other
114,60804.0,0.0,40.0,47.593009,32.0,1.12291,1.381072,28.0,44.496583,other
115,60805.0,0.0,40.0,47.592211,31.0,1.150679,1.466097,28.0,43.526739,other
116,60806.0,0.0,40.0,47.591413,31.0,1.100332,1.345127,28.0,43.526723,other
117,60807.0,0.0,40.0,47.350755,30.0,1.100313,1.345098,27.0,44.496536,other
118,60808.0,0.025641,40.0,47.015819,30.0,1.100295,1.345069,28.0,43.526687,other
119,60809.0,0.025641,40.0,47.308253,31.0,1.150655,1.465952,29.0,44.401829,other
120,60810.0,0.025641,40.0,47.307481,32.0,1.150649,1.465915,29.0,43.433646,other
121,60811.0,0.025641,40.0,47.306713,32.0,1.150644,1.465879,28.0,44.399671,other
122,60812.0,0.025641,40.0,47.305945,31.0,1.251471,1.513832,30.0,43.841644,other
