epoch,accuracy,loss,val_accuracy,val_loss
0,0.769229054,0.855621338,0.775770009,0.677265286
1,0.775505185,0.714661598,0.775770009,0.673888862
2,0.777419209,0.667013526,0.78769803,0.622341752
3,0.779132903,0.626516581,0.778974533,0.580405116
4,0.783339262,0.606766164,0.786896944,0.561040223
5,0.784563363,0.597046912,0.793306053,0.54053551
6,0.784518838,0.588375151,0.792771935,0.547033548
7,0.785142004,0.58495146,0.800516307,0.533833861
8,0.786922455,0.576929986,0.782446146,0.617420971
9,0.7879017,0.572960019,0.80398792,0.525077403
10,0.788458109,0.567792177,0.795353413,0.534181178
11,0.790194094,0.566060901,0.800783336,0.545026362
12,0.791262329,0.564244211,0.798468947,0.528105497
13,0.793131828,0.556434929,0.795798481,0.54095906
14,0.79324311,0.556466341,0.802296579,0.515955091
15,0.794845521,0.54889226,0.802741706,0.513315082
16,0.796648264,0.548389375,0.795264363,0.523426056
17,0.795068085,0.550090432,0.805857241,0.513176203
18,0.797649801,0.543120086,0.809862912,0.506496847
19,0.797850072,0.542000771,0.803097725,0.50881052
20,0.798250675,0.536048114,0.803364813,0.511857748
21,0.80063206,0.536476493,0.806480348,0.513234735
22,0.799719572,0.536460578,0.811821282,0.491934985
23,0.80054307,0.534038186,0.806836367,0.509811938
24,0.801522315,0.53038609,0.802474618,0.511343896
25,0.801032662,0.528250933,0.81226635,0.504512906
26,0.801344275,0.534082949,0.806836367,0.494676113
27,0.800988138,0.529796183,0.797489762,0.526462555
28,0.80474937,0.527536511,0.806925416,0.490926862
29,0.8037256,0.522357285,0.799270093,0.518631279
30,0.803035676,0.524958253,0.792059839,0.529704332
31,0.804704905,0.520819366,0.810753047,0.476582885
32,0.80635184,0.521975458,0.80194056,0.50173378
33,0.803480804,0.52063942,0.806035221,0.491305292
34,0.80466038,0.518015206,0.807815552,0.495322526
35,0.803970456,0.522093594,0.808082581,0.487193644
36,0.805995703,0.517326176,0.819743633,0.480961561
37,0.807108521,0.516328514,0.816183031,0.47856918
38,0.804816186,0.518991828,0.810129941,0.480636299
39,0.805150032,0.518887043,0.807103455,0.505075574
40,0.804415584,0.51648432,0.811198175,0.485486954
41,0.804393291,0.515720546,0.80826062,0.475436211
42,0.806952715,0.514642477,0.806836367,0.538233817
43,0.807598174,0.509242952,0.81226635,0.481200099
44,0.807798445,0.510568917,0.813334525,0.482118189
45,0.807820678,0.512622356,0.815559924,0.47586441
46,0.809868217,0.511743605,0.819654644,0.470271707
47,0.811381638,0.502192676,0.811109126,0.484589279
48,0.807820678,0.512792408,0.814758778,0.483031124
49,0.808288097,0.507454813,0.816628098,0.483127058
